Sampling Type,Model,Test Accuracy_Not_Tuned,F1 Score_Not_Tuned,Test Accuracy_Tuned,F1 Score_Tuned,Best Hyperparameters,Accuracy Improvement,F1 Score Improvement
Raw Data,SVM,0.8334473324213406,0.7247032221594121,0.8690150478796169,0.7903667214012041,"{'C': 10, 'kernel': 'rbf'}",0.035567715458276306,0.06566349924179204
Raw Data,Decision Tree,0.850547195622435,0.7654320987654321,0.8826949384404925,0.8154922001075847,"{'criterion': 'gini', 'max_depth': 10}",0.032147742818057545,0.05006010134215266
Raw Data,Random Forest,0.8772229822161423,0.8035030103995622,0.8929548563611491,0.8265927977839335,"{'max_depth': 10, 'n_estimators': 100}",0.015731874145006874,0.023089787384371285
Under-sampled Data,SVM,0.808982683982684,0.8260226712666338,0.8479437229437229,0.8529565672422815,"{'C': 1, 'kernel': 'linear'}",0.03896103896103886,0.02693389597564777
Under-sampled Data,Decision Tree,0.8192640692640693,0.8178844056706652,0.8636363636363636,0.8670886075949367,"{'criterion': 'gini', 'max_depth': 10}",0.044372294372294396,0.04920420192427144
Under-sampled Data,Random Forest,0.8587662337662337,0.8621236133122029,0.8679653679653679,0.8733125649013499,"{'max_depth': 10, 'n_estimators': 200}",0.009199134199134207,0.011188951589147011
Over-sampled Data,SVM,0.84025,0.8525951557093425,0.88,0.8868458274398868,"{'C': 10, 'kernel': 'rbf'}",0.03974999999999995,0.0342506717305443
Over-sampled Data,Decision Tree,0.88525,0.8853359980014989,0.89025,0.8937303316388284,"{'criterion': 'entropy', 'max_depth': 10}",0.0050000000000000044,0.008394333637329554
Over-sampled Data,Random Forest,0.9085,0.91007371007371,0.909,0.9102564102564102,"{'max_depth': None, 'n_estimators': 100}",0.000500000000000056,0.00018270018270027943
